"","date","lower","median","upper"
"cases[51]",51,1215.61261408951,1239.28038925721,1263.15753762228
"cases[52]",52,1288.92856601754,1312.16407147916,1335.60649272329
"cases[53]",53,1362.7785126365,1385.60441897348,1408.54134877091
"cases[54]",54,1437.02000025173,1459.40303003499,1481.9179803831
"cases[55]",55,1511.45960580456,1533.38169859914,1555.44970984225
"cases[56]",56,1585.88802970479,1607.38034513584,1628.98359718895
"cases[57]",57,1660.15510013836,1681.21103364842,1702.35729815908
"cases[58]",58,1734.0982044573,1754.73763138234,1775.47952334508
"cases[59]",59,1807.43824555349,1827.77835512111,1848.12693607924
"cases[60]",60,1880.20061495233,1900.22379091546,1920.27297841073
