"","date","lower","median","upper"
"cases[51]",51,180.954626156335,188.42421016244,195.90823409138
"cases[52]",52,190.212400024243,197.641835231625,205.097332978044
"cases[53]",53,199.531995563027,206.958039604678,214.424434208667
"cases[54]",54,208.920500325543,216.339092458408,223.841304953699
"cases[55]",55,218.332770808947,225.796659998334,233.342671927925
"cases[56]",56,227.802809974435,235.299547253652,242.895494385463
"cases[57]",57,237.257777959999,244.837439937871,252.47420286403
"cases[58]",58,246.730441911978,254.398679073179,262.116503739196
"cases[59]",59,256.221821745059,263.964348738759,271.746766876209
"cases[60]",60,265.691944731542,273.519794664841,281.350102737194
"cases[61]",61,275.14840895237,283.066980439536,290.934863792691
"cases[62]",62,284.601167782494,292.577157045302,300.48279298584
"cases[63]",63,294.004022877938,302.045812213453,309.997383620673
"cases[64]",64,303.364945448395,311.460757932781,319.444547218411
"cases[65]",65,312.684987914133,320.807213428485,328.801424002464
"cases[66]",66,321.943595939893,330.079192360221,338.070752103617
"cases[67]",67,331.147351050999,339.274046937285,347.255236991421
"cases[68]",68,340.270696677745,348.379075793233,356.336320375542
"cases[69]",69,349.30241268319,357.384469905207,365.297960662754
"cases[70]",70,358.242899365014,366.279291007874,374.138182287606
"cases[71]",71,367.074715678603,375.068332197883,382.876306282401
"cases[72]",72,375.788716053105,383.730464079739,391.491204824119
"cases[73]",73,384.380570987563,392.270005724112,399.974011691018
"cases[74]",74,392.841122856937,400.684548126915,408.352981976869
