"","date","lower","median","upper"
"cases[60]",60,97.1132678486614,101.594488471936,106.065153213792
"cases[61]",61,101.473126515229,105.874237249151,110.266972375696
"cases[62]",62,105.875609699011,110.194810469748,114.50498039616
"cases[63]",63,110.309381234721,114.553732335064,118.777675379196
"cases[64]",64,114.776536411263,118.940734341294,123.08850381711
"cases[65]",65,119.275030343335,123.357980224871,127.430942370486
"cases[66]",66,123.787403351996,127.791303330057,131.786121979966
"cases[67]",67,128.314323636373,132.243239138939,136.161826390957
"cases[68]",68,132.84092008535,136.705749075233,140.556540131595
"cases[69]",69,137.364685906134,141.175009503378,144.974076313875
"cases[70]",70,141.886412188237,145.647541058332,149.400422571309
"cases[71]",71,146.413259771895,150.117426629986,153.832095595016
"cases[72]",72,150.916863962008,154.582312302823,158.263826452132
"cases[73]",73,155.410117834528,159.038880933686,162.684733150254
"cases[74]",74,159.872306678245,163.481588879663,167.100774484751
"cases[75]",75,164.308730938217,167.904957414939,171.518020708441
"cases[76]",76,168.713971161343,172.307238025009,175.907617599598
"cases[77]",77,173.09462129279,176.682924204673,180.288973179162
"cases[78]",78,177.447557185452,181.034368413786,184.650485646178
"cases[79]",79,181.759411184464,185.354879595479,188.979127593015
"cases[80]",80,186.030342770961,189.640810659428,193.288098547987
"cases[81]",81,190.264655996476,193.893112328547,197.559857888916
"cases[82]",82,194.448851743883,198.101056548507,201.795555978499
"cases[83]",83,198.592318846775,202.269964622555,205.996615173896
"cases[84]",84,202.695929209943,206.395267839223,210.151161934521
