"","date","lower","median","upper"
"cases[66]",66,14.8455013642092,16.6931047662525,18.5409786175751
"cases[67]",67,15.4765719324881,17.3024514251151,19.124422876106
"cases[68]",68,16.1157225902028,17.919367806309,19.7132747001349
"cases[69]",69,16.764238621144,18.5435062695708,20.3109609698347
"cases[70]",70,17.4205882239966,19.1735369020124,20.9145725351289
"cases[71]",71,18.0822534017139,19.8104068644365,21.5226700028809
"cases[72]",72,18.7516691509054,20.4525857404346,22.1354881664533
"cases[73]",73,19.4290673738905,21.099893186385,22.7529267334555
"cases[74]",74,20.10787639899,21.7518830337092,23.3751151492431
"cases[75]",75,20.794977041873,22.4074622624486,24.0017332299835
"cases[76]",76,21.4863669267484,23.0682562043324,24.6343821153589
"cases[77]",77,22.1747058108574,23.7320510041087,25.2693325086182
"cases[78]",78,22.8659826883953,24.3978640350224,25.9102307932051
"cases[79]",79,23.5617780364739,25.0650270128917,26.5531452972456
"cases[80]",80,24.2589580567944,25.7357527735897,27.2010662845969
"cases[81]",81,24.9552211516564,26.408679693481,27.8495881817464
"cases[82]",82,25.6533320091568,27.0826357376288,28.5003881864646
"cases[83]",83,26.3505944018781,27.7574396928772,29.1531552039937
"cases[84]",84,27.0469702183217,28.432194100256,29.8086968919626
"cases[85]",85,27.7404159228989,29.1082648118651,30.4653291536935
"cases[86]",86,28.4329227663911,29.7829552071456,31.1246946121383
"cases[87]",87,29.1258673961933,30.4578269863168,31.783036382472
"cases[88]",88,29.8129425851318,31.1321464881793,32.4433488683171
"cases[89]",89,30.4984626032891,31.8048406026418,33.1029164854724
"cases[90]",90,31.1819186232405,32.4756280268102,33.7630947785179
"cases[91]",91,31.8642270232851,33.1441338805083,34.4218993828829
"cases[92]",92,32.5423601336473,33.8101201090766,35.0843747389862
"cases[93]",93,33.2146076379592,34.4733073001428,35.7408592491989
"cases[94]",94,33.8801156393909,35.1343349834727,36.3972249794525
"cases[95]",95,34.5440370572877,35.7931841068467,37.0546326315751
"cases[96]",96,35.204286368085,36.4472976205996,37.7102342079786
"cases[97]",97,35.8563229095909,37.0981366198498,38.3603110847947
"cases[98]",98,36.5067574228562,37.7451964589356,39.0072385685284
"cases[99]",99,37.1514243998567,38.3881560057164,39.6493043535001
"cases[100]",100,37.789802465753,39.0261220843158,40.2895542286695
"cases[101]",101,38.4223641875884,39.6599999397995,40.926061476
"cases[102]",102,39.0492531382327,40.2888018466649,41.5572627887417
"cases[103]",103,39.6714988249392,40.9138135070919,42.1833824442085
"cases[104]",104,40.2855226352266,41.5325703162256,42.8056496432329
"cases[105]",105,40.8952695638306,42.1462601853585,43.4233801506317
"cases[106]",106,41.501687183902,42.7543414722532,44.0361824772996
"cases[107]",107,42.101778622245,43.3568724676555,44.6412219051045
"cases[108]",108,42.690581488621,43.9533041400889,45.2421957357904
"cases[109]",109,43.2761087041527,44.5443434027658,45.8354382443863
"cases[110]",110,43.855474472128,45.1292187655063,46.425046714385
"cases[111]",111,44.4294037230359,45.7076003743942,47.0046629083088
"cases[112]",112,44.9974577975171,46.2805323395062,47.5793419051477
"cases[113]",113,45.5582729886197,46.8465497840081,48.1503190066858
"cases[114]",114,46.1134965372026,47.405977272221,48.7127559167795
"cases[115]",115,46.6639403255186,47.9587872676534,49.2657762575884
"cases[116]",116,47.2047634953994,48.505659008258,49.817467544973
"cases[117]",117,47.7391411681464,49.0458444216636,50.3610257123269
"cases[118]",118,48.2649402969861,49.579000922251,50.8942458564865
"cases[119]",119,48.7835308451456,50.1052232341693,51.4227577104992
"cases[120]",120,49.297060391669,50.6248298974326,51.9467493159545
