"","date","lower","median","upper"
"cases[47]",47,62.6608029487247,67.0210890531475,71.4188681707434
"cases[48]",48,65.6906280600255,69.9604012814044,74.2862655849001
"cases[49]",49,68.717301198272,72.9309379839918,77.2118644107697
"cases[50]",50,71.7520664818192,75.9284690865634,80.1813806374181
"cases[51]",51,74.7818981838469,78.9550149149837,83.2130589717354
"cases[52]",52,77.8005233543776,81.9991327150756,86.2817346517816
"cases[53]",53,80.800619848547,85.0624746721471,89.3903433816701
"cases[54]",54,83.8052013683656,88.1411994793448,92.5352590408632
"cases[55]",55,86.7978992572012,91.2319021379372,95.7156748856123
"cases[56]",56,89.7725934249286,94.3233196978227,98.9017853884962
"cases[57]",57,92.7385539479077,97.423227398548,102.102242209997
"cases[58]",58,95.7111723769598,100.518002343426,105.305432915461
"cases[59]",59,98.676797284738,103.613384281205,108.513753737108
"cases[60]",60,101.622448547427,106.701468647327,111.720471148304
"cases[61]",61,104.564701164849,109.781741024574,114.91869048491
"cases[62]",62,107.493826414974,112.849653570492,118.108160554868
"cases[63]",63,110.419654865899,115.902539694092,121.279497201026
"cases[64]",64,113.33259105476,118.944661983589,124.42685496424
"cases[65]",65,116.228743572283,121.968592530077,127.54318352586
"cases[66]",66,119.117273516135,124.966605751731,130.623079052182
"cases[67]",67,121.996998803458,127.943098878906,133.666544464798
"cases[68]",68,124.862627994029,130.893453804421,136.681856145465
"cases[69]",69,127.71485096178,133.820290424239,139.652434929848
"cases[70]",70,130.544605032033,136.717258722139,142.574013538494
"cases[71]",71,133.360736111306,139.580083229741,145.454742806117
"cases[72]",72,136.173062538891,142.412364551462,148.288482554267
"cases[73]",73,138.961427323316,145.212121700569,151.083989615095
"cases[74]",74,141.729964049099,147.972256974335,153.822613539076
"cases[75]",75,144.481676198927,150.700360722739,156.528534682904
"cases[76]",76,147.200993489772,153.388908410142,159.171841499887
"cases[77]",77,149.900024037708,156.041469898482,161.766997848039
"cases[78]",78,152.57178359745,158.65590963738,164.318717340524
"cases[79]",79,155.215915150075,161.229330104545,166.824899409081
"cases[80]",80,157.827711436847,163.76311148054,169.280410428702
"cases[81]",81,160.412380077217,166.253319872109,171.693182806951
"cases[82]",82,162.961782575134,168.701488906994,174.057291237984
"cases[83]",83,165.478735665487,171.107626061821,176.368140131393
"cases[84]",84,167.946397378919,173.473667804457,178.632867891668
