"","date","lower","median","upper"
"cases[63]",63,255.512988182758,259.183506635806,262.805857846624
"cases[64]",64,268.930587321607,272.524210493275,276.080085553583
"cases[65]",65,282.438662694337,285.958102628923,289.441435110583
"cases[66]",66,296.011074696772,299.457654032706,302.875305505489
"cases[67]",67,309.61997079999,312.994188399085,316.336182903916
"cases[68]",68,323.231761719731,326.544480714716,329.807419984736
"cases[69]",69,336.833439672035,340.083828746076,343.276177918463
"cases[70]",70,350.407806249722,353.585643313657,356.72126048674
"cases[71]",71,363.906145210401,367.031229500935,370.112338437392
"cases[72]",72,377.324438554105,380.398619474124,383.430816681028
"cases[73]",73,390.64283875927,393.670746770381,396.657208880091
"cases[74]",74,403.836040951035,406.822605581844,409.776021396925
