"","date","lower","median","upper"
"cases[44]",44,59.255387958986,62.1592598258567,65.0657905362315
"cases[45]",45,62.8060374033102,65.6299428523236,68.4599354241677
"cases[46]",46,66.3699274842117,69.1322457593377,71.9025841934507
"cases[47]",47,69.9436062030258,72.6570742347565,75.383285551597
"cases[48]",48,73.5081184796322,76.1937060477546,78.8898805717875
"cases[49]",49,77.0749792048192,79.7353161060975,82.4131948481831
"cases[50]",50,80.6195242097365,83.2789498499823,85.9544459874126
"cases[51]",51,84.143336577227,86.8114551254783,89.493906075068
"cases[52]",52,87.6441481346902,90.3277936047953,93.0320337279373
"cases[53]",53,91.1213013349274,93.8274175315036,96.5498380129245
"cases[54]",54,94.5753517347196,97.2986395401327,100.041350274089
"cases[55]",55,97.9920423501262,100.73677908681,103.500845901998
"cases[56]",56,101.369519496218,104.141297672003,106.924892650399
"cases[57]",57,104.704943306472,107.499981106174,110.300053877897
"cases[58]",58,108.006097878913,110.814091315757,113.621102820499
