"","date","lower","median","upper"
"cases[48]",48,19.063875786099,21.3273185688687,23.5476938496878
"cases[49]",49,20.1011731555015,22.3313852917869,24.5095129349964
"cases[50]",50,21.1541148591631,23.3467217694535,25.4836483728297
"cases[51]",51,22.2271822864018,24.3723533354153,26.4640061024248
"cases[52]",52,23.3100951180906,25.4078666485538,27.4545583981169
"cases[53]",53,24.4009861903474,26.451601071043,28.4498734658458
"cases[54]",54,25.4994188013506,27.5024748958418,29.452080111014
"cases[55]",55,26.6052024823901,28.5589826349801,30.4547775579421
"cases[56]",56,27.7145034785759,29.6182929532454,31.4644287554955
"cases[57]",57,28.8207514313595,30.6811855976871,32.4838365941148
"cases[58]",58,29.9344091990414,31.7468125984603,33.5032291176086
"cases[59]",59,31.0419780994739,32.809840606261,34.5243075808402
"cases[60]",60,32.1464724232486,33.8731990100385,35.5469929082343
"cases[61]",61,33.2482508463715,34.9346466361266,36.5718321880746
"cases[62]",62,34.3437505774088,35.9931261065371,37.5968671186011
"cases[63]",63,35.4341350041222,37.0464019579823,38.6187617788822
"cases[64]",64,36.5118532740166,38.0938787442161,39.6421023259023
"cases[65]",65,37.5840317098877,39.1358640104735,40.6614809792385
"cases[66]",66,38.645057133664,40.1702880514004,41.6756868120201
"cases[67]",67,39.6922621752819,41.1965204374023,42.6850137802718
"cases[68]",68,40.7276549627455,42.2147481084426,43.6885294704981
"cases[69]",69,41.7509994907837,43.223490839919,44.6844233623323
"cases[70]",70,42.7635605104071,44.2219995692223,45.6762751837989
"cases[71]",71,43.7616680209857,45.2102659448562,46.6597692664045
"cases[72]",72,44.7436927344971,46.1879029058201,47.6318850487309
