"","date","lower","median","upper"
"cases[31]",31,57.1207207032058,59.8043848055693,62.4836164299046
"cases[32]",32,59.7260317701704,62.3639768579918,64.9995158950196
"cases[33]",33,62.3527718780007,64.9504775345752,67.5445945674528
"cases[34]",34,65.0049251608747,67.5609329183962,70.1055668064085
"cases[35]",35,67.6779512239802,70.1899727235544,72.686177108789
"cases[36]",36,70.3690231175335,72.8363163478866,75.2853990449009
"cases[37]",37,73.0745541568381,75.4954913433901,77.8988974592949
"cases[38]",38,75.7916195771893,78.1658491882675,80.5314430542314
"cases[39]",39,78.5104798856815,80.8444857651273,83.1665893260859
"cases[40]",40,81.2407768583125,83.5305070203632,85.8083998393516
"cases[41]",41,83.9647057175676,86.2179564830964,88.4566679368967
"cases[42]",42,86.6840341700922,88.904650776364,91.1091992573895
"cases[43]",43,89.3997907835532,91.5888085958076,93.763752113752
"cases[44]",44,92.1072320066923,94.267405240659,96.415988496328
"cases[45]",45,94.8040726274569,96.9388731510755,99.0667969861116
"cases[46]",46,97.493150170635,99.6025556306758,101.7103691716
"cases[47]",47,100.160427937846,102.252617644114,104.342915519439
"cases[48]",48,102.810063512075,104.890026740498,106.9599174518
"cases[49]",49,105.443374730662,107.509362662993,109.564546723311
"cases[50]",50,108.054924498276,110.109974934426,112.163258172331
"cases[51]",51,110.643169542157,112.692937543726,114.745485805057
"cases[52]",52,113.207075781807,115.254122195294,117.309123960733
"cases[53]",53,115.740428388267,117.792114520987,119.848183247168
"cases[54]",54,118.252618584737,120.304237946443,122.364345697515
"cases[55]",55,120.735758599021,122.790919280844,124.852785020744
