"","date","lower","median","upper"
"cases[35]",35,105.988584406942,108.212171910717,110.43564428436
"cases[36]",36,110.954333976261,113.143430437752,115.329488912303
"cases[37]",37,115.969546221011,118.11770385237,120.27025594282
"cases[38]",38,121.016717841037,123.128245984692,125.244693718015
"cases[39]",39,126.090181115614,128.170077405662,130.246555216655
"cases[40]",40,131.183370976946,133.232579626372,135.279415693466
"cases[41]",41,136.289948633181,138.308542789214,140.323145133691
"cases[42]",42,141.403605403156,143.392952400834,145.378565743393
"cases[43]",43,146.518087553315,148.479229945114,150.439436619292
"cases[44]",44,151.620682287751,153.563482642662,155.502414842221
"cases[45]",45,156.718275009287,158.637174204603,160.553732029868
"cases[46]",46,161.790753760753,163.695354934998,165.591683488863
"cases[47]",47,166.843728964483,168.730033917251,170.610476404012
"cases[48]",48,171.85897014729,173.737890244774,175.606214465051
"cases[49]",49,176.846095465011,178.714878110435,180.571689456395
"cases[50]",50,181.789743754542,183.655682741396,185.505166007031
"cases[51]",51,186.694867526486,188.554221969454,190.40360384955
"cases[52]",52,191.549127282097,193.408505145226,195.257653100108
