"","date","lower","median","upper"
"cases[64]",64,765.22890409893,777.492260317229,789.715955847001
"cases[65]",65,809.036703402326,821.079823551001,833.091491298044
"cases[66]",66,853.116355980948,864.976896719183,876.778792515601
"cases[67]",67,897.37614966437,909.085496971693,920.724618457241
"cases[68]",68,941.738277764467,953.309794417067,964.785345659825
"cases[69]",69,986.055040618175,997.545290092821,1008.9104826329
"cases[70]",70,1030.24521523397,1041.7001986887,1052.99502929667
"cases[71]",71,1074.26797895681,1085.68829394516,1096.9671361721
"cases[72]",72,1118.02167753233,1129.43136895342,1140.71215248093
"cases[73]",73,1161.48210017388,1172.86597086322,1184.14051550661
"cases[74]",74,1204.4900324579,1215.88516427626,1227.206105488
