"","date","lower","median","upper"
"cases[63]",63,49.3571573932279,51.8130799958275,54.2298287136948
"cases[64]",64,51.7151139888164,54.1384637810874,56.5210015602018
"cases[65]",65,54.1022710134759,56.485561572371,58.8333606650027
"cases[66]",66,56.5116024858485,58.8542066930633,61.1634532059052
"cases[67]",67,58.9350401256511,61.2403048952879,63.5107495487267
"cases[68]",68,61.378217824108,63.6416883583038,65.8717420795272
"cases[69]",69,63.8256426177821,66.0526372438631,68.2465956262546
"cases[70]",70,66.284357000908,68.4734818708085,70.6291119596231
"cases[71]",71,68.7475253836028,70.8987965279399,73.0196629559132
"cases[72]",72,71.2085064304702,73.3252291038885,75.4129973672909
"cases[73]",73,73.66954014385,75.7511605916072,77.8113153878112
"cases[74]",74,76.1213781117255,78.1750279882414,80.2080081820462
"cases[75]",75,78.56564005927,80.5933239836632,82.6016999380889
"cases[76]",76,81.0024409581898,83.0043866161338,84.9876343249836
"cases[77]",77,83.42639794309,85.4044514775995,87.3699150788304
"cases[78]",78,85.8316766392814,87.7922181957315,89.7435920520904
"cases[79]",79,88.2192406156119,90.1628622158741,92.1010944231087
"cases[80]",80,90.5921480150303,92.5185923429754,94.4464723113638
"cases[81]",81,92.9426056280945,94.8554458343305,96.7773639956469
"cases[82]",82,95.2675394980792,97.1737162445444,99.0890113293504
"cases[83]",83,97.5721716868178,99.4700616341481,101.382045013895
"cases[84]",84,99.8459387798618,101.742202546319,103.651239739612
