"","date","lower","median","upper"
"cases[63]",63,145.826713111964,153.995033378536,162.135684541802
"cases[64]",64,154.07774899835,162.160990921924,170.220343480695
"cases[65]",65,162.385118112322,170.400143033703,178.406752890271
"cases[66]",66,170.74524332829,178.706987469279,186.667636628883
"cases[67]",67,179.1520721618,187.057377340909,195.006542161206
"cases[68]",68,187.56987631626,195.443007257227,203.367000571199
"cases[69]",69,195.989542527891,203.850070684217,211.77555211222
"cases[70]",70,204.390519739861,212.265085246067,220.17379195624
"cases[71]",71,212.757321955874,220.662207672234,228.579442243307
"cases[72]",72,221.104021782312,229.040031572769,236.983348848277
"cases[73]",73,229.437358290609,237.3720724374,245.327265123508
"cases[74]",74,237.695876497606,245.663245409374,253.646056502344
"cases[75]",75,245.909622743613,253.890073179096,261.875118080155
"cases[76]",76,254.051507696795,262.044025193303,270.029165318973
"cases[77]",77,262.109154222001,270.114067169632,278.067446603762
"cases[78]",78,270.089811172037,278.107903137443,286.032778738306
"cases[79]",79,277.980614888529,285.995578942572,293.882870354408
"cases[80]",80,285.78523175319,293.783102622566,301.617844253336
