"","date","lower","median","upper"
"cases[61]",61,185.672537385823,192.785781258922,199.712262275622
"cases[62]",62,196.409778032734,203.406921693493,210.238407455193
"cases[63]",63,207.23910116425,214.117989552853,220.856557801149
"cases[64]",64,218.141089033698,224.896204213317,231.525330665996
"cases[65]",65,229.078210447139,235.714866787188,242.239235804999
"cases[66]",66,240.030427136908,246.548893067557,252.982885426336
"cases[67]",67,250.95849542477,257.381514627743,263.720858172281
"cases[68]",68,261.876062132749,268.190088651796,274.435112787833
"cases[69]",69,272.722838380084,278.94956604304,285.125514208536
"cases[70]",70,283.506569343021,289.658091989967,295.752407946092
"cases[71]",71,294.203408691586,300.277187167169,306.314639975703
"cases[72]",72,304.805163253056,310.809299543875,316.793871698886
