"","date","lower","median","upper"
"cases[1]",1,0,0.00155304044780065,38.5042692551852
"cases[2]",2,0,0.00188043677276573,38.7854724593225
"cases[3]",3,0,0.00227112627862732,39.0017501415031
"cases[4]",4,0,0.00275147036212697,39.2158761778752
"cases[5]",5,0,0.0033028018194444,39.4950537560974
"cases[6]",6,0,0.00398350463532444,39.7977322747291
"cases[7]",7,0,0.00479474099263721,40.0109596967235
"cases[8]",8,0,0.00572676510655515,40.3909671825225
"cases[9]",9,0,0.00681383225035855,40.7264660203778
"cases[10]",10,0,0.00815975255758434,40.962841374298
"cases[11]",11,0,0.0097103370023687,41.205634774275
"cases[12]",12,0,0.0115428209765173,41.5118916439075
"cases[13]",13,0,0.0136510044158209,41.8084098833543
"cases[14]",14,0,0.0161523218547534,42.0978380740469
"cases[15]",15,0,0.0190493622911999,42.4263423379245
"cases[16]",16,0,0.0225973985430684,42.6358080651873
"cases[17]",17,0,0.0264739591533659,42.8768270725571
"cases[18]",18,0,0.0310147798562503,43.1133697666746
"cases[19]",19,0,0.0363740464546019,43.3702788833397
"cases[20]",20,0,0.0426869839184624,43.7133621589595
"cases[21]",21,0,0.0495082155218972,44.032587623833
"cases[22]",22,0,0.0573506287366768,44.2679769419588
"cases[23]",23,0,0.0667214895537729,44.6869406501871
"cases[24]",24,0,0.0773753715298772,44.9893525156363
"cases[25]",25,0,0.0892742650312728,45.3113585659288
"cases[26]",26,0,0.102638625664425,45.6699177045424
"cases[27]",27,0,0.118417586136807,46.1122728142297
"cases[28]",28,0,0.136078228183587,46.5644758827487
"cases[29]",29,0,0.156337534080944,47.0217941007411
"cases[30]",30,0,0.179748265887099,47.5358053167885
"cases[31]",31,0,0.206464851028741,47.9149850167778
"cases[32]",32,0,0.236307800822672,48.2966829802202
"cases[33]",33,0,0.269967988859156,48.9625494905056
"cases[34]",34,0,0.307785507818566,49.4304454414266
"cases[35]",35,0,0.350337184051423,50.0129954640666
"cases[36]",36,0,0.398124246049877,50.6779027345832
"cases[37]",37,0,0.45273680905074,51.160300764706
"cases[38]",38,0,0.513025468555449,51.6668372924083
"cases[39]",39,0,0.583204993309337,52.2799753443567
"cases[40]",40,0,0.658245951118404,52.9141398646027
"cases[41]",41,0,0.743299460178182,53.5603025258464
"cases[42]",42,0,0.838652211112537,54.1940638422905
"cases[43]",43,0,0.942978412408221,54.8660510552319
"cases[44]",44,0,1.06056008380443,55.4673500994324
"cases[45]",45,0,1.18810641201562,56.2528125566432
"cases[46]",46,0,1.33187165118037,56.9778236525298
"cases[47]",47,0,1.49600168075783,57.7631106821668
"cases[48]",48,0,1.67492465910692,58.3955559554037
"cases[49]",49,0,1.87116500023428,59.0720963181197
"cases[50]",50,0,2.08927177194434,59.6989100740729
"cases[51]",51,0,2.32367934106772,60.4896142345535
"cases[52]",52,0,2.58315764647464,61.4019162624549
"cases[53]",53,0,2.86222639240786,62.3494255991862
"cases[54]",54,0,3.18005448926323,63.2134066228581
"cases[55]",55,0,3.52213135919104,64.2872699680122
"cases[56]",56,0,3.9049695199152,65.6421357633054
"cases[57]",57,0,4.34394259473002,66.722558925326
"cases[58]",58,0,4.81330566100851,67.7409241806972
"cases[59]",59,0,5.32414447486278,69.0105200717564
"cases[60]",60,0,5.89742195856469,70.5908966862899
"cases[61]",61,0,6.52061043002331,72.0118255303728
"cases[62]",62,2.36826696484884e-239,7.20420282273706,73.1181064813268
"cases[63]",63,9.85351432514381e-68,7.95904007191633,74.2054033097865
"cases[64]",64,9.0583433141032e-18,8.79016944296328,75.3692428557753
"cases[65]",65,0.000999261970763054,9.7591987947059,77.5700016739506
"cases[66]",66,0.494362637787864,11.5173029318901,88.6000728258205
"cases[67]",67,0.694497996552817,12.6425100409976,701.978830372437
"cases[68]",68,0.8896601572913,13.6521840829924,2214.89319509697
"cases[69]",69,1.11818823779574,14.7480829438537,3745.55469511223
"cases[70]",70,1.37300319451762,15.9052130297924,5075.44389345393
"cases[71]",71,1.64425683007439,17.1188389332302,6045.77418329703
"cases[72]",72,1.95473467474949,18.4788181489257,7006.71764178295
"cases[73]",73,2.26672389332739,19.9691013732142,7798.8935727243
"cases[74]",74,2.56903071310678,21.5455831582219,8537.25395146739
"cases[75]",75,2.85654012840325,23.1960074132536,9186.20700604198
"cases[76]",76,3.13154391364475,25.0616110626052,9747.57123641958
"cases[77]",77,3.40491986123886,27.1315806151564,10295.5331241899
