"","date","lower","median","upper"
"cases[31]",31,20.2288133988901,23.3279689794678,26.4299492621027
"cases[32]",32,21.559438203296,24.6090622705559,27.6557392074439
"cases[33]",33,22.9011530076164,25.9049222175711,28.9064839172982
"cases[34]",34,24.2465277434641,27.2143313581278,30.1847655811549
"cases[35]",35,25.5986942795767,28.5326859376049,31.4738654389238
"cases[36]",36,26.9639113497465,29.8565032277031,32.7763615326274
"cases[37]",37,28.314948632531,31.1916531018667,34.1094115495406
"cases[38]",38,29.6563328551792,32.5252576509901,35.4567923981996
"cases[39]",39,30.9848315863146,33.858698203866,36.8145833172625
"cases[40]",40,32.3171698980625,35.1928807639697,38.1804322693278
"cases[41]",41,33.6242272847754,36.5205467069882,39.5536791968905
"cases[42]",42,34.9260597439729,37.8422387959114,40.9396961019293
"cases[43]",43,36.2061825047911,39.1560714359322,42.3133515630609
"cases[44]",44,37.476487285816,40.4623208581447,43.6808360571492
"cases[45]",45,38.7290468905927,41.7559113024712,45.05049933345
"cases[46]",46,39.9713137796351,43.0352273463467,46.3958150864843
"cases[47]",47,41.1946121884048,44.3036680451002,47.7207504266828
"cases[48]",48,42.3992200478255,45.5552367393726,49.0322133290069
"cases[49]",49,43.5825335050247,46.7902361377401,50.3237666554526
"cases[50]",50,44.7523037752137,48.0086371981778,51.600423299154
"cases[51]",51,45.9029170953353,49.2067084992791,52.854826232102
